LINCOLN - ST BOTOLPH'S TERRACE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SK972700,Long,-0.546,Lat,53.218,Elevation,25,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911
November,1.35,1.26,3.15,1.47,2.37,4.11,2.91,1.68,3.35,1.17,2.58,2.30,2.64,2.62,1.37,2.76,1.75,1.74,2.92,0.72,3.08,3.42,1.25,2.48,2.09,2.98,1.58,1.68,1.72,1.06,1.77,2.15,1.71,1.82,0.76,2.55,2.79,2.32,,0.27,3.06,2.18
December,3.90,1.11,3.00,0.15,2.37,0.95,4.81,1.35,1.67,0.67,2.19,2.14,3.63,1.24,1.60,0.96,3.20,0.91,1.96,1.09,0.55,3.12,0.57,1.60,1.98,1.99,3.71,2.38,2.03,2.27,3.22,4.46,1.75,0.75,1.59,0.54,1.84,2.18,,4.23,3.81,4.51
Total,18.52,25.15,35.16,20.56,16.76,22.47,28.23,25.30,27.52,24.46,30.88,24.91,32.75,31.97,16.82,27.79,25.80,17.70,23.96,26.82,19.87,28.15,27.07,17.94,24.36,23.48,25.35,23.27,18.43,21.14,27.09,21.13,22.23,28.23,20.07,19.52,26.76,27.32,,28.69,26.30,20.60
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1870-1879_06_pt3/039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1880-1889_08_pt1/041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1890-1899_13_pt1/169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1900-1909_17_pt1/111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1910-1919_16_pt1/069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"# The observer, Mr Teague, is listed as living at 13 St Botolph's Terrace.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"# St Botolph's Terrace is on the High Street between Queen Streeet and Shakespeare Street, just north of St Botolph's church.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# This location has been used for the grid reference.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"# However, the initial entries in British Rainfall for this site, for 1874, 1875 and 1876, are listed as Lincoln Water Works (Mr Teague was a water engineer.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# British Rainfall only starts referring to the site as St Botolphs from 1877.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# So it is possible that earlier readings were at Lincoln Water Works (SK968694).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Mr Teague's 1870 and 1871 readings are duplicated on the Doddington Hall sheet.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
